Temps (s),Résistance (Ohms),Température (°C)
214.78078079223633,4718.15,43.03
215.79641199111938,4697.14,43.14
216.80948424339294,4676.19,43.25
217.82313132286072,4655.3,43.37
218.835711479187,4655.3,43.37
219.84737706184387,4655.3,43.37
220.86315846443176,4613.71,43.6
221.87213230133057,4613.71,43.6
222.88861298561096,4613.71,43.6
223.89668822288513,4613.71,43.6
224.91396260261536,4613.71,43.6
225.9294605255127,4572.35,43.82
226.93824434280396,4572.35,43.82
227.94937467575073,4572.35,43.82
228.9637472629547,4551.76,43.94
229.9805829524994,4531.23,44.05
230.99567413330078,4551.76,43.94
232.00836491584778,4551.76,43.94
233.02173781394958,4531.23,44.05
234.02958607673645,4531.23,44.05
235.04418873786926,4531.23,44.05
236.05462455749512,4510.76,44.17
237.07456851005554,4490.34,44.28
238.08454775810242,4490.34,44.28
239.10090231895447,4490.34,44.28
240.11435770988464,4469.99,44.4
241.12739944458008,4449.69,44.51
242.14137244224548,4469.99,44.4
243.15250396728516,4449.69,44.51
244.16129612922668,4429.45,44.63
245.17936277389526,4429.45,44.63
246.19220900535583,4429.45,44.63
247.2071976661682,4409.26,44.75
248.22062468528748,4389.14,44.86
249.2341902256012,4369.07,44.98
250.2415895462036,4389.14,44.86
251.25896644592285,4389.14,44.86
252.26731061935425,4389.14,44.86
253.28316402435303,4389.14,44.86
254.3011338710785,4369.07,44.98
255.31405448913574,4369.07,44.98
256.3257930278778,4349.06,45.1
257.3338658809662,4349.06,45.1
258.34999346733093,4349.06,45.1
259.3662679195404,4349.06,45.1
260.37384700775146,4329.1,45.22
261.39061641693115,4329.1,45.22
262.39981389045715,4329.1,45.22
263.41647720336914,4329.1,45.22
264.43277502059937,4289.35,45.45
265.4410526752472,4309.2,45.33
266.4602255821228,4289.35,45.45
267.4730257987976,4289.35,45.45
268.4830732345581,4289.35,45.45
269.49967980384827,4289.35,45.45
270.50714898109436,4289.35,45.45
271.5239861011505,4249.83,45.69
272.53242015838623,4269.57,45.57
273.54888939857483,4249.83,45.69
274.5635075569153,4249.83,45.69
275.57276821136475,4230.15,45.81
276.58953762054443,4210.53,45.93
277.5990562438965,4210.53,45.93
278.6158273220062,4210.53,45.93
279.6323220729828,4210.53,45.93
280.64017844200134,4210.53,45.93
281.65674901008606,4190.96,46.05
282.66544795036316,4190.96,46.05
283.6820158958435,4171.45,46.17
284.6980938911438,4171.45,46.17
285.70647859573364,4151.99,46.29
286.7237226963043,4151.99,46.29
287.73852014541626,4132.58,46.41
288.74865221977234,4132.58,46.41
289.76539969444275,4132.58,46.41
290.77847814559937,4132.58,46.41
291.78948307037354,4113.23,46.53
292.7983593940735,4132.58,46.41
293.8155515193939,4132.58,46.41
294.83169412612915,4132.58,46.41
295.83998465538025,4113.23,46.53
296.85600900650024,4093.93,46.65
297.8653964996338,4074.69,46.77
298.8813910484314,4074.69,46.77
299.8981556892395,4074.69,46.77
300.90615725517273,4074.69,46.77
301.92317366600037,4055.5,46.89
302.93746399879456,4036.36,47.02
303.9479389190674,4036.36,47.02
304.96474504470825,4036.36,47.02
305.97178840637207,4036.36,47.02
306.9893310070038,4017.27,47.14
307.99805212020874,4036.36,47.02
309.0143074989319,4017.27,47.14
310.03104043006897,3998.24,47.26
311.03907346725464,3998.24,47.26
312.0551700592041,3998.24,47.26
313.06390380859375,3998.24,47.26
314.0798168182373,3998.24,47.26
315.09770703315735,3979.26,47.38
316.10565662384033,3979.26,47.38
317.12285828590393,3960.33,47.51
318.1376221179962,3960.33,47.51
319.1468143463135,3960.33,47.51
320.1639075279236,3941.45,47.63
321.17225456237793,3941.45,47.63
322.1885941028595,3941.45,47.63
323.19708156585693,3941.45,47.63
324.21385884284973,3941.45,47.63
325.2301676273346,3941.45,47.63
326.23868107795715,3941.45,47.63
327.25052547454834,3922.63,47.76
328.26315903663635,3922.63,47.76
329.2826623916626,3922.63,47.76
330.2898418903351,3903.85,47.88
331.3095877170563,3903.85,47.88
332.32279109954834,3903.85,47.88
333.3301031589508,3903.85,47.88
334.34734177589417,3885.13,48.0
335.3626353740692,3903.85,47.88
336.3709533214569,3885.13,48.0
337.38920974731445,3885.13,48.0
338.39698028564453,3885.13,48.0
339.41563868522644,3885.13,48.0
340.42886185646057,3885.13,48.0
341.43715023994446,3885.13,48.0
342.4553008079529,3866.46,48.13
343.46293473243713,3866.46,48.13
344.48000478744507,3847.84,48.26
345.4955611228943,3847.84,48.26
346.504212141037,3847.84,48.26
347.520947933197,3847.84,48.26
348.53526759147644,3829.27,48.38
349.5454807281494,3829.27,48.38
350.5623528957367,3810.75,48.51
