Temps (s),Température 0 (°C),Température 1 (°C),Température 2 (°C)
45.39692759513855,19.12,25.21,27.28
45.92494201660156,19.12,25.21,27.19
46.45301818847656,19.03,25.12,27.19
46.98123097419739,18.95,25.03,27.1
47.509363651275635,18.86,25.03,27.1
48.0379958152771,18.95,24.94,27.01
48.56819200515747,18.86,24.94,27.01
49.09476709365845,18.68,24.85,27.01
49.624162435531616,18.68,24.77,27.01
50.15205430984497,18.59,24.68,26.92
50.67939758300781,18.59,24.68,26.83
51.20853352546692,18.51,24.59,26.83
51.737119913101196,18.51,24.5,26.74
52.266196966171265,18.51,24.5,26.74
52.794172286987305,18.51,24.41,26.74
53.32307052612305,18.33,24.41,26.65
53.850481033325195,18.33,24.32,26.65
54.37883543968201,18.24,24.32,26.56
54.90726971626282,18.24,24.23,26.56
55.43723797798157,18.24,24.14,26.56
55.96717953681946,18.15,24.14,26.47
56.49296593666077,18.07,24.14,26.47
57.022738218307495,18.07,24.05,26.38
57.54946732521057,17.89,24.05,26.29
58.0780189037323,17.89,24.05,26.29
58.60788822174072,17.8,23.88,26.2
59.13676309585571,17.89,23.88,26.2
59.665302991867065,17.8,23.79,26.2
60.19387650489807,17.8,23.79,26.11
60.721434354782104,17.71,23.7,26.11
61.24835205078125,17.63,23.7,26.02
61.77695417404175,17.54,23.7,25.93
62.30588221549988,17.54,23.61,25.93
62.835007429122925,17.45,23.61,25.93
63.363170862197876,17.45,23.52,25.84
63.89085245132446,17.45,23.43,25.84
64.41995549201965,17.36,23.35,25.75
64.94920682907104,17.27,23.35,25.66
65.47816252708435,17.27,23.35,25.66
66.0053436756134,17.27,23.26,25.57
66.53381657600403,17.27,23.26,25.57
67.06220030784607,17.19,23.17,25.57
67.59120345115662,17.19,23.17,25.48
68.11929655075073,17.1,23.17,25.39
68.64739537239075,17.1,23.08,25.39
69.17594456672668,17.01,22.99,25.3
69.70543599128723,17.01,22.9,25.3
70.23206067085266,17.01,22.9,25.3
70.76102900505066,16.83,22.81,25.21
71.28945660591125,16.83,22.81,25.21
71.8175642490387,16.83,22.81,25.12
72.34645819664001,16.83,22.73,25.12
72.87446784973145,16.75,22.73,25.03
73.40272688865662,16.75,22.64,25.03
73.93192219734192,16.75,22.64,24.94
74.46022844314575,16.66,22.55,24.94
74.98806500434875,16.57,22.55,24.85
75.51695775985718,16.57,22.46,24.85
76.04623866081238,16.57,22.37,24.85
76.57384967803955,16.48,22.46,24.77
77.10215973854065,16.39,22.37,24.68
77.63137698173523,16.39,22.37,24.68
78.15837240219116,16.31,22.29,24.59
78.68833637237549,16.31,22.2,24.59
79.21627926826477,16.31,22.2,24.59
79.74536323547363,16.31,22.11,24.59
80.27379417419434,16.31,22.11,24.5
80.80179524421692,16.22,22.11,24.41
81.33033895492554,16.22,22.02,24.41
81.85920310020447,16.13,21.93,24.32
82.38633370399475,16.13,21.93,24.32
82.91615676879883,16.04,21.93,24.32
83.44434404373169,16.13,21.84,24.23
83.97141408920288,16.04,21.84,24.14
84.49952054023743,16.04,21.76,24.14
85.02998566627502,16.04,21.67,24.14
85.55696845054626,15.95,21.67,24.14
86.08449053764343,15.95,21.58,24.05
86.6135938167572,15.86,21.58,24.05
87.14227962493896,15.86,21.49,23.97
87.67027449607849,15.86,21.49,23.97
88.20029258728027,15.78,21.49,23.88
88.72837996482849,15.78,21.4,23.88
89.2554063796997,15.78,21.32,23.79
89.78580260276794,15.78,21.32,23.79
90.3126289844513,15.78,21.32,23.7
90.84057712554932,15.6,21.23,23.7
91.36979246139526,15.6,21.23,23.7
91.89808917045593,15.6,21.23,23.61
92.42591762542725,15.51,21.23,23.52
92.95496034622192,15.51,21.14,23.52
93.48355293273926,15.51,21.14,23.52
94.01127505302429,15.42,21.05,23.52
94.54008626937866,15.51,21.05,23.43
95.06870245933533,15.42,20.97,23.43
95.59673070907593,15.42,20.97,23.35
96.12559914588928,15.33,20.88,23.35
96.6541051864624,15.24,20.88,23.26
97.18240571022034,15.33,20.79,23.26
97.71006226539612,15.24,20.79,23.26
98.2391049861908,15.16,20.79,23.17
98.76701140403748,15.16,20.79,23.17
99.29598832130432,15.16,20.7,23.17
99.82426881790161,15.16,20.7,23.08
100.35219764709473,15.16,20.61,23.08
100.88133358955383,15.07,20.53,23.08
101.40961122512817,15.07,20.53,22.99
101.93744444847107,14.98,20.53,22.99
102.46716284751892,14.98,20.53,22.9
102.9957344532013,14.89,20.44,22.9
103.52319359779358,14.89,20.44,22.81
104.05181527137756,14.89,20.35,22.81
104.58046388626099,14.89,20.35,22.81
105.1078290939331,14.8,20.35,22.73
105.63641548156738,14.8,20.35,22.73
106.16691493988037,14.8,20.26,22.64
106.69450092315674,14.71,20.26,22.64
107.22356247901917,14.71,20.17,22.64
107.75046992301941,14.71,20.17,22.55
108.28005385398865,14.71,20.09,22.55
108.80666637420654,14.62,20.09,22.46
109.33604645729065,14.62,20.09,22.46
109.86498260498047,14.62,20.0,22.46
110.39270758628845,14.53,20.09,22.37
110.92226314544678,14.62,19.91,22.37
111.44976878166199,14.53,20.0,22.29
111.97807812690735,14.45,19.82,22.37
112.5067310333252,14.45,19.91,22.29
113.03471064567566,14.45,19.82,22.2
113.56344175338745,14.45,19.82,22.2
114.09215784072876,14.36,19.74,22.11
114.62055563926697,14.36,19.65,22.2
115.14814615249634,14.36,19.65,22.11
115.6782557964325,14.36,19.65,22.11
116.20511031150818,14.27,19.65,22.02
116.73511123657227,14.27,19.65,22.02
117.26304650306702,14.18,19.56,22.02
117.79062843322754,14.27,19.56,22.02
118.31923031806946,14.18,19.47,21.93
118.84761428833008,14.18,19.47,21.93
119.3753674030304,14.09,19.47,21.84
119.90484690666199,14.18,19.38,21.84
120.4334626197815,14.09,19.38,21.84
120.96037912368774,14.09,19.3,21.84
121.49002599716187,14.09,19.3,21.76
122.01901054382324,14.0,19.3,21.76
122.5479097366333,14.0,19.3,21.67
123.07477927207947,13.91,19.3,21.67
123.60461068153381,14.0,19.21,21.67
124.13116312026978,14.0,19.12,21.58
124.66101312637329,13.91,19.12,21.58
125.18933916091919,13.91,19.12,21.58
