Temps,Consigne,Commande,T1,T2,T3,T3 estimé
1040,25,0,39.88,36.95,35.12,35.41
1045,25,0,39.68,36.93,35.2,35.4
1050,25,0,39.64,36.9,35.19,35.4
1055,25,0,39.64,36.96,35.24,35.43
1060,25,0,39.65,36.99,35.26,35.43
1065,25,0,39.73,36.96,35.3,35.42
1070,25,0,39.73,36.99,35.3,35.44
1075,25,0,39.65,36.99,35.26,35.46
1080,25,0,39.81,36.97,35.12,35.46
1085,25,0,39.92,37.01,35.22,35.48
1090,25,0,39.97,37.01,35.3,35.48
1095,25,0,39.86,37.03,35.3,35.48
1100,25,0,39.77,37.03,35.3,35.49
1105,25,0,39.65,36.99,35.3,35.5
1110,25,0,39.77,36.97,35.3,35.51
1115,25,0,39.65,36.99,35.3,35.52
1120,25,0,39.69,37.02,35.26,35.5
1125,25,0,39.73,37.05,35.28,35.48
1130,25,0,39.77,37.03,35.3,35.48
1135,25,0,39.69,36.96,35.3,35.5
1140,25,0,39.81,37,35.3,35.52
1145,25,0,39.73,37.05,35.3,35.52
1150,25,0,39.69,37.02,35.26,35.49
1155,25,0,39.65,37.05,35.28,35.49
1160,25,0,39.65,37.02,35.3,35.52
1165,25,0,39.77,37.03,35.3,35.52
1170,25,0,39.73,37.05,35.3,35.53
1175,25,0,39.82,37.06,35.3,35.52
1180,25,0,39.86,37.06,35.3,35.52
1185,25,0,39.82,37.03,35.3,35.53
1190,25,0,39.73,37.02,35.3,35.54
1195,25,0,39.82,36.97,35.18,35.55
1200,25,0,39.93,36.98,35.18,35.53
1205,25,0,40.01,37.02,35.3,35.52
1210,25,0,39.98,37.04,35.3,35.5
1215,25,0,39.82,37.03,35.3,35.49
1220,25,0,39.73,37.05,35.3,35.5
1225,25,0,39.53,36.95,35.29,35.52
1230,25,0,39.65,36.99,35.2,35.52
1235,25,0,39.77,37.03,35.18,35.53
1240,25,0,39.68,37.02,35.3,35.49
1245,25,0,39.61,37.01,35.3,35.49
1250,25,0,39.69,37.02,35.3,35.5
1255,25,0,39.73,37.02,35.28,35.51
1260,25,0,39.77,37.03,35.18,35.51
1265,25,0,39.72,37.02,35.14,35.51
1270,25,0,39.68,36.99,35.18,35.51
1275,25,0,39.68,36.99,35.22,35.52
1280,25,0,39.56,36.95,35.29,35.52
1285,25,0,39.61,36.98,35.3,35.5
1290,25,0,39.65,36.9,35.27,35.49
