Temps (s),Echelon (V),DeltaV (V),Tension_0 (V),Temp_0 (°C),Tension_1 (V),Temp_1 (°C),Tension_2 (V),Temp_2 (°C),Courant (V)
701.8177568912506,0.298,0.494,2.067,33.502,1.984,35.145,1.872,37.635,1.608
702.4245460033417,0.298,0.499,2.067,33.502,1.984,35.145,1.872,37.635,1.613
703.0312049388885,0.303,0.494,2.067,33.502,1.984,35.145,1.872,37.635,1.613
703.6379127502441,0.303,0.484,2.072,33.406,1.984,35.145,1.872,37.635,1.613
704.2446269989014,0.298,0.494,2.067,33.502,1.984,35.145,1.877,37.533,1.603
704.8514230251312,0.303,0.489,2.067,33.502,1.984,35.145,1.872,37.635,1.613
705.458014011383,0.298,0.499,2.067,33.502,1.984,35.145,1.872,37.635,1.613
706.0645451545715,0.303,0.494,2.072,33.406,1.984,35.145,1.872,37.635,1.613
706.6713600158691,0.303,0.494,2.072,33.406,1.984,35.145,1.872,37.635,1.618
707.278028011322,0.303,0.489,2.072,33.406,1.984,35.145,1.872,37.635,1.618
707.8846411705017,0.303,0.484,2.072,33.406,1.984,35.145,1.872,37.635,1.603
708.4914739131927,0.303,0.494,2.072,33.406,1.984,35.145,1.872,37.635,1.613
709.0979950428009,0.298,0.494,2.072,33.406,1.984,35.145,1.872,37.635,1.623
709.7045929431915,0.303,0.484,2.072,33.406,1.984,35.145,1.872,37.635,1.613
710.3114559650421,0.303,0.494,2.072,33.406,1.984,35.145,1.872,37.635,1.603
710.9182641506195,0.298,0.494,2.072,33.406,1.984,35.145,1.872,37.635,1.608
711.5249691009521,0.303,0.494,2.072,33.406,1.984,35.145,1.872,37.635,1.613
712.1315109729767,0.303,0.494,2.072,33.406,1.984,35.145,1.872,37.635,1.618
712.7383120059967,0.298,0.494,2.072,33.406,1.984,35.145,1.872,37.635,1.608
713.3449537754059,0.298,0.494,2.072,33.406,1.984,35.145,1.872,37.635,1.608
713.9515478610992,0.298,0.494,2.072,33.406,1.984,35.145,1.872,37.635,1.618
714.5583980083466,0.298,0.499,2.072,33.406,1.984,35.145,1.872,37.635,1.618
715.1649680137634,0.303,0.489,2.072,33.406,1.984,35.145,1.872,37.635,1.613
715.7715940475464,0.303,0.499,2.072,33.406,1.984,35.145,1.872,37.635,1.613
716.3783371448517,0.303,0.479,2.072,33.406,1.984,35.145,1.867,37.737,1.608
716.985102891922,0.298,0.494,2.067,33.502,1.984,35.145,1.872,37.635,1.608
717.5918128490448,0.303,0.479,2.067,33.502,1.984,35.145,1.872,37.635,1.618
718.1985459327698,0.303,0.489,2.067,33.502,1.984,35.145,1.867,37.737,1.613
718.8052790164948,0.303,0.479,2.067,33.502,1.984,35.145,1.872,37.635,1.613
719.41188621521,0.293,0.503,2.067,33.502,1.984,35.145,1.872,37.635,1.613
720.0185790061951,0.298,0.494,2.067,33.502,1.984,35.145,1.872,37.635,1.618
720.6251180171967,0.303,0.494,2.067,33.502,1.984,35.145,1.872,37.635,1.613
721.2319049835205,0.303,0.494,2.067,33.502,1.984,35.145,1.872,37.635,1.608
721.8386490345001,0.298,0.499,2.063,33.599,1.984,35.145,1.872,37.635,1.613
722.4453520774841,0.298,0.489,2.067,33.502,1.984,35.145,1.872,37.635,1.623
723.0521202087402,0.303,0.489,2.067,33.502,1.984,35.145,1.872,37.635,1.613
723.6586730480194,0.303,0.494,2.067,33.502,1.984,35.145,1.872,37.635,1.608
724.2654421329498,0.303,0.484,2.067,33.502,1.984,35.145,1.872,37.635,1.618
724.8719899654388,0.303,0.489,2.067,33.502,1.984,35.145,1.872,37.635,1.623
725.4788150787354,0.303,0.494,2.067,33.502,1.984,35.145,1.872,37.635,1.618
726.0855197906494,0.303,0.499,2.063,33.599,1.984,35.145,1.872,37.635,1.608
726.6921780109406,0.303,0.494,2.063,33.599,1.984,35.145,1.872,37.635,1.613
727.2987399101257,0.303,0.484,2.063,33.599,1.984,35.145,1.872,37.635,1.613
727.9056329727173,0.298,0.494,2.063,33.599,1.984,35.145,1.872,37.635,1.623
728.5122919082642,0.303,0.494,2.063,33.599,1.984,35.145,1.872,37.635,1.608
729.118978023529,0.303,0.489,2.067,33.502,1.984,35.145,1.877,37.533,1.623
729.7256021499634,0.303,0.494,2.063,33.599,1.984,35.145,1.872,37.635,1.608
730.3323640823364,0.303,0.489,2.063,33.599,1.984,35.145,1.872,37.635,1.618
730.938982963562,0.298,0.499,2.063,33.599,1.984,35.145,1.872,37.635,1.618
731.5457270145416,0.298,0.494,2.063,33.599,1.984,35.145,1.872,37.635,1.608
732.1523830890656,0.303,0.494,2.063,33.599,1.984,35.145,1.872,37.635,1.613
732.7591209411621,0.308,0.489,2.063,33.599,1.984,35.145,1.872,37.635,1.608
733.3658080101013,0.303,0.494,2.063,33.599,1.984,35.145,1.872,37.635,1.608
733.9725110530853,0.293,0.499,2.063,33.599,1.984,35.145,1.872,37.635,1.603
734.5792100429535,0.303,0.489,2.063,33.599,1.984,35.145,1.877,37.533,1.603
735.1858010292053,0.303,0.489,2.063,33.599,1.984,35.145,1.872,37.635,1.608
735.7925930023193,0.303,0.494,2.063,33.599,1.984,35.145,1.872,37.635,1.608
736.3993411064148,0.303,0.489,2.067,33.502,1.984,35.145,1.872,37.635,1.608
737.0059719085693,0.303,0.489,2.067,33.502,1.984,35.145,1.872,37.635,1.603
737.6126179695129,0.298,0.494,2.067,33.502,1.984,35.145,1.872,37.635,1.613
738.2193422317505,0.293,0.503,2.067,33.502,1.984,35.145,1.872,37.635,1.618
738.8259160518646,0.293,0.508,2.072,33.406,1.984,35.145,1.872,37.635,1.608
739.4326751232147,0.303,0.484,2.072,33.406,1.984,35.145,1.872,37.635,1.613
740.0394129753113,0.298,0.499,2.072,33.406,1.984,35.145,1.872,37.635,1.623
740.645975112915,0.303,0.494,2.072,33.406,1.984,35.145,1.872,37.635,1.608
741.2526819705963,0.298,0.494,2.072,33.406,1.989,35.046,1.872,37.635,1.618
741.8593950271606,0.293,0.503,2.072,33.406,1.989,35.046,1.867,37.737,1.613
742.4660181999207,0.303,0.484,2.072,33.406,1.984,35.145,1.872,37.635,1.618
743.072832107544,0.298,0.499,2.072,33.406,1.989,35.046,1.867,37.737,1.613
743.6794800758362,0.288,0.503,2.077,33.309,1.984,35.145,1.867,37.737,1.618
767.947005033493,0.303,0.494,2.077,33.309,1.989,35.046,1.872,37.635,1.618
768.5538430213928,0.303,0.499,2.077,33.309,1.989,35.046,1.877,37.533,1.618
769.1606330871582,0.298,0.499,2.082,33.213,1.994,34.948,1.877,37.533,1.618
769.7672629356384,0.303,0.479,2.082,33.213,1.994,34.948,1.877,37.533,1.623
770.3737411499023,0.303,0.494,2.082,33.213,1.994,34.948,1.877,37.533,1.618
770.9805488586426,0.303,0.499,2.082,33.213,1.994,34.948,1.877,37.533,1.613
771.5873501300812,0.293,0.503,2.082,33.213,1.994,34.948,1.877,37.533,1.613
772.1939368247986,0.303,0.494,2.082,33.213,1.999,34.849,1.877,37.533,1.613
772.8007481098175,0.303,0.494,2.082,33.213,1.999,34.849,1.877,37.533,1.618
773.4072568416595,0.303,0.484,2.082,33.213,1.999,34.849,1.877,37.533,1.608
774.0139899253845,0.298,0.489,2.082,33.213,1.999,34.849,1.877,37.533,1.618
774.6208288669586,0.293,0.508,2.082,33.213,1.999,34.849,1.877,37.533,1.603
775.2274940013885,0.303,0.494,2.082,33.213,1.999,34.849,1.877,37.533,1.618
775.8341860771179,0.303,0.479,2.082,33.213,1.999,34.849,1.877,37.533,1.613
776.4408519268036,0.293,0.503,2.082,33.213,1.999,34.849,1.877,37.533,1.608
777.0475480556488,0.303,0.489,2.082,33.213,1.999,34.849,1.877,37.533,1.618
777.6543290615082,0.303,0.489,2.082,33.213,1.999,34.849,1.877,37.533,1.608
778.2609369754791,0.303,0.489,2.082,33.213,1.999,34.849,1.872,37.635,1.608
778.8676779270172,0.303,0.489,2.087,33.117,1.999,34.849,1.872,37.635,1.613
779.474219083786,0.303,0.494,2.082,33.213,1.999,34.849,1.877,37.533,1.618
780.0809979438782,0.303,0.494,2.087,33.117,1.999,34.849,1.877,37.533,1.613
780.6876480579376,0.303,0.494,2.087,33.117,1.999,34.849,1.877,37.533,1.603
781.2944121360779,0.293,0.503,2.087,33.117,1.999,34.849,1.877,37.533,1.603
781.9010651111603,0.298,0.499,2.087,33.117,2.004,34.751,1.877,37.533,1.603
782.507611989975,0.303,0.494,2.082,33.213,1.999,34.849,1.877,37.533,1.608
783.1144540309906,0.303,0.494,2.087,33.117,1.999,34.849,1.872,37.635,1.613
783.7212209701538,0.298,0.484,2.087,33.117,1.999,34.849,1.877,37.533,1.618
784.3276810646057,0.303,0.494,2.087,33.117,2.004,34.751,1.877,37.533,1.613
784.9344520568848,0.303,0.494,2.087,33.117,1.999,34.849,1.872,37.635,1.613
785.541277885437,0.303,0.489,2.087,33.117,1.999,34.849,1.872,37.635,1.608
786.1479749679565,0.303,0.494,2.087,33.117,1.999,34.849,1.877,37.533,1.608
786.7546880245209,0.298,0.499,2.092,33.021,2.004,34.751,1.872,37.635,1.608
787.3614180088043,0.303,0.479,2.087,33.117,1.999,34.849,1.877,37.533,1.613
787.9680509567261,0.293,0.499,2.087,33.117,1.999,34.849,1.877,37.533,1.618
788.5746550559998,0.303,0.489,2.087,33.117,1.999,34.849,1.877,37.533,1.613
789.1812701225281,0.303,0.484,2.087,33.117,1.999,34.849,1.872,37.635,1.608
789.7880890369415,0.293,0.503,2.087,33.117,1.999,34.849,1.877,37.533,1.608
790.3949949741364,0.303,0.489,2.087,33.117,1.999,34.849,1.877,37.533,1.613
791.0023128986359,0.298,0.494,2.087,33.117,1.999,34.849,1.877,37.533,1.608
791.608246088028,0.298,0.499,2.087,33.117,1.999,34.849,1.872,37.635,1.613
792.2147557735443,0.303,0.494,2.087,33.117,1.999,34.849,1.872,37.635,1.618
792.8215129375458,0.298,0.494,2.087,33.117,1.999,34.849,1.872,37.635,1.613
793.4282100200653,0.303,0.489,2.087,33.117,1.999,34.849,1.872,37.635,1.613
794.0350117683411,0.303,0.484,2.087,33.117,1.999,34.849,1.872,37.635,1.613
794.6418061256409,0.298,0.499,2.087,33.117,1.999,34.849,1.872,37.635,1.618
795.2482879161835,0.298,0.499,2.087,33.117,1.999,34.849,1.872,37.635,1.613
795.8549420833588,0.303,0.494,2.087,33.117,1.999,34.849,1.877,37.533,1.608
796.4617590904236,0.298,0.494,2.087,33.117,1.999,34.849,1.872,37.635,1.608
797.0684080123901,0.298,0.494,2.087,33.117,1.999,34.849,1.872,37.635,1.608
797.6750600337982,0.303,0.494,2.087,33.117,1.999,34.849,1.872,37.635,1.608
798.2819330692291,0.303,0.494,2.087,33.117,1.994,34.948,1.872,37.635,1.603
798.8883409500122,0.298,0.494,2.087,33.117,1.999,34.849,1.872,37.635,1.608
799.4951779842377,0.298,0.494,2.082,33.213,1.999,34.849,1.872,37.635,1.613
800.1017990112305,0.303,0.494,2.082,33.213,1.999,34.849,1.872,37.635,1.618
800.7087070941925,0.303,0.489,2.082,33.213,1.999,34.849,1.872,37.635,1.603
801.3152179718018,0.298,0.499,2.082,33.213,1.999,34.849,1.872,37.635,1.618
801.9219131469727,0.303,0.479,2.082,33.213,1.999,34.849,1.872,37.635,1.613
802.5286540985107,0.303,0.489,2.077,33.309,1.999,34.849,1.872,37.635,1.618
803.135363817215,0.303,0.484,2.082,33.213,1.999,34.849,1.872,37.635,1.618
803.7420179843903,0.303,0.489,2.077,33.309,1.999,34.849,1.877,37.533,1.613
804.3487298488617,0.298,0.499,2.082,33.213,1.999,34.849,1.877,37.533,1.608
804.9553940296173,0.303,0.489,2.077,33.309,1.999,34.849,1.877,37.533,1.608
805.5621290206909,0.298,0.484,2.082,33.213,1.994,34.948,1.877,37.533,1.623
806.1687779426575,0.303,0.494,2.077,33.309,1.994,34.948,1.877,37.533,1.613
806.775374174118,0.303,0.489,2.082,33.213,1.994,34.948,1.877,37.533,1.618
807.3822951316833,0.293,0.503,2.082,33.213,1.994,34.948,1.877,37.533,1.618
807.9889030456543,0.303,0.494,2.082,33.213,1.994,34.948,1.877,37.533,1.618
808.5955410003662,0.303,0.484,2.082,33.213,1.994,34.948,1.877,37.533,1.613
809.202260017395,0.298,0.494,2.082,33.213,1.994,34.948,1.877,37.533,1.608
809.8090178966522,0.293,0.503,2.077,33.309,1.994,34.948,1.872,37.635,1.618
810.4156601428986,0.303,0.494,2.077,33.309,1.994,34.948,1.872,37.635,1.603
811.0221529006958,0.303,0.484,2.077,33.309,1.989,35.046,1.877,37.533,1.618
811.6290061473846,0.303,0.494,2.077,33.309,1.994,34.948,1.877,37.533,1.598
812.235631942749,0.303,0.484,2.077,33.309,1.994,34.948,1.877,37.533,1.608
812.8423371315002,0.303,0.494,2.072,33.406,1.989,35.046,1.877,37.533,1.618
813.4488561153412,0.298,0.494,2.072,33.406,1.989,35.046,1.877,37.533,1.618
814.055801153183,0.303,0.484,2.072,33.406,1.989,35.046,1.877,37.533,1.613
814.6625270843506,0.303,0.494,2.072,33.406,1.989,35.046,1.877,37.533,1.618
815.2691578865051,0.303,0.494,2.072,33.406,1.989,35.046,1.877,37.533,1.618
815.8763961791992,0.303,0.494,2.072,33.406,1.989,35.046,1.877,37.533,1.608
816.48308801651,0.298,0.494,2.072,33.406,1.989,35.046,1.877,37.533,1.603
817.0893790721893,0.303,0.479,2.077,33.309,1.989,35.046,1.877,37.533,1.618
817.6959099769592,0.303,0.494,2.077,33.309,1.989,35.046,1.877,37.533,1.618
818.3026912212372,0.298,0.494,2.077,33.309,1.994,34.948,1.877,37.533,1.632
818.9094610214233,0.303,0.489,2.077,33.309,1.994,34.948,1.872,37.635,1.613
819.5160131454468,0.303,0.494,2.077,33.309,1.994,34.948,1.877,37.533,1.608
820.1226320266724,0.303,0.484,2.077,33.309,1.994,34.948,1.872,37.635,1.618
820.7293901443481,0.303,0.494,2.072,33.406,1.994,34.948,1.872,37.635,1.613
821.3360209465027,0.303,0.489,2.072,33.406,1.989,35.046,1.872,37.635,1.618
821.9427599906921,0.298,0.499,2.072,33.406,1.989,35.046,1.872,37.635,1.618
822.5494809150696,0.303,0.494,2.077,33.309,1.994,34.948,1.872,37.635,1.608
823.1562759876251,0.303,0.494,2.072,33.406,1.989,35.046,1.877,37.533,1.618
823.7629771232605,0.293,0.499,2.072,33.406,1.989,35.046,1.877,37.533,1.623
824.369745016098,0.298,0.499,2.072,33.406,1.994,34.948,1.877,37.533,1.613
824.9761328697205,0.298,0.494,2.072,33.406,1.994,34.948,1.877,37.533,1.613
825.5830769538879,0.303,0.494,2.077,33.309,1.994,34.948,1.877,37.533,1.618
826.1895771026611,0.303,0.494,2.077,33.309,1.994,34.948,1.877,37.533,1.618
826.7975299358368,0.303,0.489,2.077,33.309,1.994,34.948,1.877,37.533,1.613
827.403079032898,0.303,0.489,2.077,33.309,1.994,34.948,1.877,37.533,1.618
828.0097830295563,0.303,0.494,2.077,33.309,1.999,34.849,1.877,37.533,1.618
828.6161820888519,0.303,0.494,2.082,33.213,1.999,34.849,1.877,37.533,1.618
829.2230679988861,0.308,0.489,2.082,33.213,1.999,34.849,1.877,37.533,1.618
829.829843044281,0.303,0.499,2.082,33.213,1.999,34.849,1.877,37.533,1.608
830.4366829395294,0.303,0.489,2.082,33.213,1.999,34.849,1.872,37.635,1.628
831.0432379245758,0.303,0.484,2.082,33.213,1.999,34.849,1.877,37.533,1.613
831.6499600410461,0.303,0.494,2.082,33.213,1.999,34.849,1.872,37.635,1.613
832.2566299438477,0.303,0.489,2.087,33.117,1.999,34.849,1.877,37.533,1.613
832.8632659912109,0.303,0.489,2.082,33.213,1.999,34.849,1.872,37.635,1.608
833.4698140621185,0.298,0.489,2.082,33.213,1.999,34.849,1.872,37.635,1.613
834.0765461921692,0.303,0.489,2.082,33.213,1.999,34.849,1.877,37.533,1.613
834.6832048892975,0.298,0.503,2.087,33.117,1.999,34.849,1.877,37.533,1.608
835.2900259494781,0.303,0.494,2.082,33.213,1.999,34.849,1.872,37.635,1.613
835.8965928554535,0.303,0.479,2.082,33.213,1.994,34.948,1.877,37.533,1.613
836.5032708644867,0.293,0.503,2.082,33.213,1.999,34.849,1.877,37.533,1.618
837.1100180149078,0.303,0.489,2.082,33.213,1.999,34.849,1.877,37.533,1.623
837.716698884964,0.303,0.494,2.082,33.213,1.994,34.948,1.877,37.533,1.618
838.323380947113,0.303,0.489,2.082,33.213,1.994,34.948,1.872,37.635,1.618
838.9302091598511,0.303,0.494,2.082,33.213,1.994,34.948,1.872,37.635,1.623
839.5369510650635,0.303,0.489,2.082,33.213,1.994,34.948,1.877,37.533,1.618
840.1435761451721,0.303,0.494,2.082,33.213,1.994,34.948,1.872,37.635,1.613
840.7502510547638,0.303,0.484,2.082,33.213,1.994,34.948,1.872,37.635,1.613
841.3568069934845,0.293,0.503,2.082,33.213,1.994,34.948,1.872,37.635,1.603
841.9636240005493,0.303,0.489,2.082,33.213,1.994,34.948,1.872,37.635,1.613
842.5702469348907,0.298,0.499,2.082,33.213,1.994,34.948,1.872,37.635,1.608
843.1769700050354,0.303,0.484,2.082,33.213,1.994,34.948,1.872,37.635,1.613
843.7835068702698,0.303,0.494,2.082,33.213,1.994,34.948,1.872,37.635,1.608
844.3902468681335,0.298,0.499,2.082,33.213,1.994,34.948,1.872,37.635,1.613
844.9970879554749,0.303,0.494,2.082,33.213,1.994,34.948,1.872,37.635,1.618
845.6036591529846,0.303,0.489,2.082,33.213,1.994,34.948,1.877,37.533,1.613
846.2104289531708,0.303,0.484,2.082,33.213,1.994,34.948,1.877,37.533,1.618
846.8171970844269,0.303,0.494,2.077,33.309,1.989,35.046,1.872,37.635,1.613
847.4238851070404,0.303,0.494,2.082,33.213,1.989,35.046,1.872,37.635,1.613
848.0304319858551,0.298,0.494,2.077,33.309,1.989,35.046,1.872,37.635,1.623
848.6372528076172,0.303,0.494,2.077,33.309,1.989,35.046,1.872,37.635,1.608
849.2439150810242,0.303,0.489,2.077,33.309,1.989,35.046,1.872,37.635,1.613
849.8505930900574,0.303,0.494,2.077,33.309,1.989,35.046,1.872,37.635,1.603
850.4574229717255,0.303,0.489,2.077,33.309,1.989,35.046,1.872,37.635,1.618
851.0640940666199,0.303,0.484,2.077,33.309,1.989,35.046,1.872,37.635,1.608
851.6708018779755,0.293,0.503,2.077,33.309,1.989,35.046,1.872,37.635,1.608
852.2773690223694,0.303,0.489,2.077,33.309,1.989,35.046,1.872,37.635,1.608
852.884152173996,0.303,0.489,2.077,33.309,1.989,35.046,1.872,37.635,1.618
853.4906938076019,0.303,0.484,2.077,33.309,1.989,35.046,1.872,37.635,1.618
854.0974631309509,0.303,0.494,2.077,33.309,1.989,35.046,1.872,37.635,1.613
854.7041869163513,0.293,0.503,2.077,33.309,1.989,35.046,1.872,37.635,1.618
855.3107779026031,0.298,0.499,2.082,33.213,1.989,35.046,1.872,37.635,1.613
