Temps (s),Résistance (Ohms),Température (°C)
59.75110459327698,5493.81,39.22
60.76422452926636,5470.5,39.33
61.777429819107056,5447.26,39.43
62.790910482406616,5424.1,39.54
63.803738594055176,5424.1,39.54
64.81720185279846,5309.31,40.07
65.83063125610352,5286.56,40.18
66.84391665458679,5286.56,40.18
67.85782837867737,5263.87,40.28
68.87004780769348,5218.71,40.5
69.88390684127808,5218.71,40.5
70.89709305763245,5151.48,40.82
71.90990161895752,5129.2,40.93
72.92372107505798,5106.98,41.04
73.9371132850647,5062.76,41.26
74.95032978057861,5040.74,41.37
75.96373152732849,5018.79,41.47
76.97687888145447,4996.9,41.58
77.99014854431152,4975.08,41.69
79.0034704208374,4931.63,41.91
80.01669073104858,4931.63,41.91
81.030118227005,4910.0,42.02
82.04283332824707,4888.43,42.14
83.05630421638489,4866.93,42.25
84.07010769844055,4802.79,42.58
85.08331871032715,4802.79,42.58
86.0966625213623,4760.35,42.8
87.10972023010254,4760.35,42.8
88.12312078475952,4697.14,43.14
89.13650941848755,4697.14,43.14
90.14973664283752,4676.19,43.25
91.16310977935791,4613.71,43.6
92.17653584480286,4613.71,43.6
93.18918919563293,4551.76,43.94
94.20293879508972,4551.76,43.94
95.21630024909973,4531.23,44.05
96.22945475578308,4510.76,44.17
97.24248123168945,4531.23,44.05
98.25631952285767,4490.34,44.28
99.26932501792908,4531.23,44.05
100.28273582458496,4510.76,44.17
101.29592990875244,4490.34,44.28
102.30865573883057,4449.69,44.51
103.32146716117859,4449.69,44.51
104.33573269844055,4409.26,44.75
105.34906649589539,4369.07,44.98
106.36233878135681,4369.07,44.98
107.3751175403595,4329.1,45.22
108.38956022262573,4309.2,45.33
109.40171790122986,4289.35,45.45
110.41549158096313,4309.2,45.33
111.42873930931091,4309.2,45.33
112.44188833236694,4269.57,45.57
113.45500111579895,4269.57,45.57
114.46856880187988,4249.83,45.69
115.48178005218506,4210.53,45.93
116.49514627456665,4190.96,46.05
117.50794649124146,4151.99,46.29
118.52141618728638,4151.99,46.29
119.53498244285583,4113.23,46.53
120.54819297790527,4093.93,46.65
121.56090021133423,4074.69,46.77
122.57504296302795,4074.69,46.77
123.58785676956177,4055.5,46.89
124.6012213230133,4036.36,47.02
125.61401653289795,4036.36,47.02
126.62783861160278,4017.27,47.14
127.64059448242188,3979.26,47.38
128.65440487861633,3941.45,47.63
129.66729831695557,3941.45,47.63
130.68066596984863,3941.45,47.63
131.69422316551208,3922.63,47.76
132.706969499588,3885.13,48.0
133.7201337814331,3922.63,47.76
134.73370885849,3885.13,48.0
135.7472505569458,3866.46,48.13
136.76046752929688,3847.84,48.26
137.77356457710266,3847.84,48.26
138.7871789932251,3847.84,48.26
139.80005836486816,3829.27,48.38
140.8136510848999,3810.75,48.51
141.82686924934387,3792.28,48.63
142.8395004272461,3792.28,48.63
143.8534803390503,3773.86,48.76
144.8665223121643,3773.86,48.76
145.88005208969116,3755.49,48.89
146.89331007003784,3755.49,48.89
147.90653562545776,3755.49,48.89
148.91958475112915,3737.17,49.02
149.93266916275024,3718.89,49.14
150.94632291793823,3700.67,49.27
151.9597511291504,3664.38,49.53
152.97229528427124,3682.5,49.4
153.98630905151367,3664.38,49.53
154.999440908432,3646.3,49.66
156.0127501487732,3628.27,49.79
157.0259566307068,3664.38,49.53
158.03910207748413,3610.29,49.92
159.05250692367554,3610.29,49.92
160.06573486328125,3592.36,50.05
161.07912135124207,3610.29,49.92
162.09235835075378,3592.36,50.05
163.10547518730164,3574.48,50.18
164.1181046962738,3556.64,50.31
165.1321918964386,3556.64,50.31
166.14500045776367,3556.64,50.31
167.15877842903137,3521.12,50.58
168.17148327827454,3521.12,50.58
169.18521523475647,3503.42,50.71
170.19828820228577,3485.77,50.84
171.21146202087402,3503.42,50.71
172.22474670410156,3503.42,50.71
173.23776865005493,3485.77,50.84
174.25117874145508,3485.77,50.84
175.26440954208374,3415.65,51.38
176.27793335914612,3433.11,51.24
177.29143452644348,3398.24,51.51
178.30494713783264,3398.24,51.51
179.31804943084717,3380.87,51.65
180.33129453659058,3363.54,51.79
181.34435892105103,3363.54,51.79
182.35747957229614,3363.54,51.79
183.37167310714722,3346.26,51.92
184.38408374786377,3311.84,52.2
185.3973352909088,3329.03,52.06
186.41077542304993,3294.7,52.34
187.42425227165222,3294.7,52.34
188.43760895729065,3311.84,52.2
189.45081877708435,3277.6,52.47
190.46291589736938,3294.7,52.34
191.4769606590271,3294.7,52.34
192.49023127555847,3277.6,52.47
193.50409197807312,3277.6,52.47
194.516348361969,3226.57,52.89
195.5302755832672,3243.54,52.75
196.5434331893921,3226.57,52.89
197.55649542808533,3209.65,53.03
198.57082605361938,3226.57,52.89
199.58351492881775,3226.57,52.89
200.5967607498169,3209.65,53.03
201.60988807678223,3192.77,53.17
202.6228940486908,3175.94,53.31
203.6370370388031,3159.15,53.46
204.6495397090912,3142.4,53.6
205.6631441116333,3159.15,53.46
206.67634439468384,3159.15,53.46
207.6893355846405,3159.15,53.46
208.70340013504028,3159.15,53.46
209.7160153388977,3142.4,53.6
210.72937989234924,3125.7,53.74
211.7427999973297,3125.7,53.74
212.75552558898926,3125.7,53.74
213.76905512809753,3109.03,53.88
214.78235721588135,3092.42,54.03
215.7959656715393,3109.03,53.88
216.80917263031006,3109.03,53.88
217.8220238685608,3092.42,54.03
218.83564281463623,3075.84,54.17
219.84856271743774,3092.42,54.03
220.86219143867493,3075.84,54.17
221.87559056282043,3075.84,54.17
222.88829922676086,3042.82,54.46
223.90267300605774,3026.37,54.61
224.9152126312256,3059.31,54.32
225.9281849861145,3042.82,54.46
226.9419882297516,3026.37,54.61
227.95472049713135,3026.37,54.61
228.96801781654358,3042.82,54.46
229.98174595832825,3042.82,54.46
230.99501752853394,3059.31,54.32
232.00850367546082,3042.82,54.46
233.0210943222046,3026.37,54.61
234.03531527519226,3026.37,54.61
235.0477910041809,3042.82,54.46
236.06144332885742,3042.82,54.46
237.07464051246643,3026.37,54.61
238.08762335777283,3009.96,54.75
239.10104632377625,2993.6,54.9
240.11447954177856,2993.6,54.9
241.12778282165527,2960.99,55.2
242.14106917381287,2977.27,55.05
243.15482878684998,2977.27,55.05
244.16892790794373,2960.99,55.2
245.18057298660278,2960.99,55.2
246.19356155395508,2944.75,55.35
247.2071032524109,2944.75,55.35
248.22068762779236,2944.75,55.35
249.2331886291504,2944.75,55.35
250.2467906475067,2944.75,55.35
251.25969338417053,2912.4,55.64
252.2739019393921,2896.28,55.79
253.2862286567688,2912.4,55.64
254.3002667427063,2912.4,55.64
255.31357789039612,2896.28,55.79
256.32614493370056,2896.28,55.79
257.3392813205719,2880.2,55.95
258.3531756401062,2896.28,55.79
259.3658549785614,2880.2,55.95
260.37923789024353,2880.2,55.95
261.39286613464355,2864.17,56.1
262.4067108631134,2864.17,56.1
263.4188301563263,2880.2,55.95
264.43242049217224,2896.28,55.79
265.4461131095886,2864.17,56.1
266.4594781398773,2864.17,56.1
267.4720597267151,2864.17,56.1
268.48562574386597,2864.17,56.1
269.49920105934143,2880.2,55.95
270.5122981071472,2864.17,56.1
271.52548384666443,2880.2,55.95
272.5382001399994,2864.17,56.1
273.5522699356079,2864.17,56.1
