Temps (s),Température 0 (°C),Température 1 (°C),Température 2 (°C)
32.184433937072754,32.66,26.38,25.03
32.711994647979736,32.75,26.38,25.03
33.24100065231323,32.94,26.47,25.21
33.7703800201416,33.04,26.47,25.12
34.29923391342163,33.14,26.65,25.21
34.82659387588501,33.33,26.74,25.21
35.35500979423523,33.43,26.83,25.21
35.883591175079346,33.52,26.83,25.3
36.41176438331604,33.62,26.92,25.3
36.94061326980591,33.72,27.01,25.39
37.469513177871704,33.81,27.1,25.39
37.9975311756134,34.01,27.19,25.48
38.52495861053467,34.1,27.28,25.48
39.05395007133484,34.1,27.28,25.48
39.58197999000549,34.3,27.37,25.57
40.111576795578,34.49,27.46,25.57
40.63874435424805,34.49,27.55,25.57
41.167601346969604,34.59,27.55,25.66
41.696409463882446,34.69,27.73,25.66
42.223729848861694,34.79,27.73,25.75
42.75438356399536,34.89,27.82,25.75
43.282217025756836,34.98,27.91,25.84
43.81002974510193,35.08,27.91,25.93
44.338702917099,35.18,28.0,25.84
44.86616587638855,35.38,28.09,25.93
45.39462375640869,35.38,28.19,26.02
45.92396092414856,35.48,28.28,26.02
46.45219588279724,35.58,28.28,26.02
46.98109173774719,35.68,28.37,26.11
47.509684324264526,35.68,28.46,26.2
48.03808045387268,35.88,28.46,26.2
48.56565999984741,35.98,28.55,26.29
49.09418034553528,35.98,28.64,26.29
49.62330412864685,36.08,28.73,26.38
50.150968074798584,36.18,28.83,26.38
50.67958664894104,36.18,28.92,26.47
51.207327127456665,36.38,28.92,26.47
51.73634386062622,36.38,29.01,26.56
52.26489043235779,36.48,29.1,26.65
52.79287886619568,36.58,29.1,26.65
53.3214647769928,36.68,29.19,26.65
53.85082030296326,36.78,29.29,26.83
54.37871980667114,36.78,29.38,26.83
54.9065957069397,36.88,29.38,26.92
55.43504214286804,36.88,29.47,26.92
55.96451711654663,36.98,29.56,27.01
56.49251389503479,36.98,29.56,27.01
57.020936250686646,37.08,29.65,27.1
57.549259424209595,37.19,29.75,27.1
58.07745313644409,37.29,29.75,27.19
58.60790228843689,37.39,29.84,27.19
59.136064529418945,37.49,29.93,27.28
59.66240215301514,37.49,30.02,27.28
60.19222092628479,37.59,30.12,27.37
60.7197699546814,37.7,30.12,27.37
61.24882483482361,37.8,30.21,27.46
61.77678155899048,37.8,30.21,27.55
62.305622577667236,37.8,30.4,27.55
62.83336329460144,37.9,30.4,27.64
63.36245656013489,38.0,30.49,27.73
63.89204216003418,38.11,30.49,27.73
64.41875767707825,38.11,30.58,27.82
64.94856810569763,38.21,30.68,27.82
65.4770622253418,38.31,30.68,27.91
66.00404620170593,38.31,30.77,28.0
66.53358459472656,38.42,30.77,28.0
67.06252956390381,38.52,30.96,28.09
67.59001660346985,38.52,30.96,28.09
68.1181070804596,38.63,31.05,28.19
68.64642882347107,38.73,31.14,28.28
69.17538666725159,38.73,31.14,28.28
69.70404696464539,38.83,31.24,28.37
70.2313973903656,38.83,31.24,28.37
70.76063299179077,38.94,31.33,28.46
71.28983497619629,38.94,31.43,28.55
71.8187050819397,39.04,31.43,28.55
72.3459804058075,39.15,31.52,28.64
72.87416315078735,39.25,31.52,28.64
73.40266990661621,39.25,31.61,28.73
73.9311351776123,39.25,31.71,28.83
74.46060800552368,39.36,31.71,28.83
74.98892140388489,39.36,31.8,28.83
75.51672387123108,39.46,31.8,28.92
76.04639291763306,39.46,31.9,29.01
76.57386112213135,39.57,31.9,29.01
77.10179328918457,39.57,31.99,29.1
77.63076829910278,39.57,31.99,29.1
78.16004729270935,39.68,32.09,29.19
78.68713021278381,39.68,32.18,29.29
79.2165424823761,39.78,32.18,29.38
79.74471044540405,39.89,32.28,29.38
80.27400350570679,39.89,32.28,29.38
80.80222535133362,40.0,32.47,29.47
81.32936477661133,40.0,32.47,29.47
81.85790824890137,40.0,32.47,29.56
82.38814091682434,40.1,32.56,29.65
82.91525673866272,40.21,32.66,29.65
83.44383788108826,40.21,32.66,29.75
83.97137093544006,40.21,32.75,29.75
