Temps (s),Echelon (V),DeltaV (V),Tension_0 (V),Temp_0 (°C),Tension_1 (V),Temp_1 (°C),Tension_2 (V),Temp_2 (°C),Courant (V)
98.19690704345703,0.684,0.997,2.107,32.734,1.921,36.44,1.579,44.125,3.421
98.8034610748291,0.684,0.997,2.102,32.83,1.916,36.541,1.579,44.125,3.416
99.41008496284485,0.684,1.002,2.102,32.83,1.916,36.541,1.574,44.24,3.416
100.01690721511841,0.684,1.002,2.097,32.925,1.911,36.642,1.574,44.24,3.426
100.6233959197998,0.684,1.002,2.097,32.925,1.906,36.743,1.569,44.355,3.416
101.23010802268982,0.684,1.002,2.092,33.021,1.906,36.743,1.569,44.355,3.416
101.83680176734924,0.684,1.002,2.092,33.021,1.901,36.844,1.564,44.471,3.416
102.44359683990479,0.684,1.002,2.087,33.117,1.901,36.844,1.564,44.471,3.416
103.05011892318726,0.689,0.997,2.082,33.213,1.896,36.945,1.564,44.471,3.416
103.6567759513855,0.684,1.002,2.082,33.213,1.896,36.945,1.559,44.587,3.412
104.26355695724487,0.684,0.997,2.077,33.309,1.891,37.047,1.554,44.703,3.412
104.87015581130981,0.679,1.007,2.072,33.406,1.887,37.148,1.554,44.703,3.416
105.47690391540527,0.679,1.007,2.072,33.406,1.887,37.148,1.549,44.82,3.412
106.08328199386597,0.684,1.002,2.067,33.502,1.887,37.148,1.549,44.82,3.421
106.69021701812744,0.679,1.012,2.067,33.502,1.882,37.25,1.549,44.82,3.416
107.29695701599121,0.684,0.992,2.063,33.599,1.877,37.352,1.544,44.936,3.421
107.90359401702881,0.684,1.002,2.058,33.696,1.872,37.454,1.544,44.936,3.412
108.51030492782593,0.684,1.002,2.058,33.696,1.872,37.454,1.54,45.053,3.407
109.11697292327881,0.684,0.997,2.053,33.792,1.867,37.556,1.54,45.053,3.412
109.72365713119507,0.679,1.007,2.053,33.792,1.867,37.556,1.54,45.053,3.412
110.33034992218018,0.684,1.002,2.048,33.889,1.862,37.659,1.535,45.171,3.412
110.93698120117188,0.684,1.002,2.048,33.889,1.862,37.659,1.54,45.053,3.412
111.5436999797821,0.684,1.007,2.043,33.986,1.857,37.762,1.535,45.171,3.412
112.15044212341309,0.684,1.007,2.043,33.986,1.857,37.762,1.53,45.288,3.412
112.75703310966492,0.684,1.002,2.038,34.084,1.852,37.864,1.53,45.288,3.412
113.36376404762268,0.684,1.007,2.033,34.181,1.852,37.864,1.53,45.288,3.407
113.9704520702362,0.684,1.002,2.033,34.181,1.848,37.967,1.525,45.406,3.407
