Temps (s),Echelon (V),Tension_0 (V),Temp_0 (°C),Tension_1 (V),Temp_1 (°C),Tension_2 (V),Temp_2 (°C)
37.68524646759033,0.489,1.984,35.161,2.366,27.787,2.488,25.703
37.95161318778992,0.489,1.984,35.161,2.366,27.787,2.483,25.793
38.21977758407593,0.489,1.984,35.161,2.361,27.878,2.483,25.793
38.48205232620239,0.489,1.979,35.26,2.361,27.878,2.483,25.793
38.74634313583374,0.489,1.975,35.359,2.356,27.969,2.483,25.793
39.011242628097534,0.489,1.975,35.359,2.356,27.969,2.478,25.882
39.277379512786865,0.489,1.97,35.458,2.351,28.06,2.478,25.882
39.54215931892395,0.489,1.965,35.557,2.351,28.06,2.478,25.882
39.807756662368774,0.484,1.965,35.557,2.351,28.06,2.473,25.972
40.07167053222656,0.489,1.96,35.657,2.346,28.151,2.473,25.972
40.336601972579956,0.489,1.96,35.657,2.346,28.151,2.473,25.972
40.60315012931824,0.484,1.955,35.756,2.341,28.242,2.473,25.972
40.867887020111084,0.484,1.955,35.756,2.341,28.242,2.473,25.972
41.13363790512085,0.489,1.95,35.856,2.341,28.242,2.468,26.062
41.398499488830566,0.484,1.95,35.856,2.336,28.334,2.468,26.062
41.66349506378174,0.489,1.945,35.956,2.336,28.334,2.468,26.062
41.92837715148926,0.489,1.945,35.956,2.331,28.425,2.468,26.062
42.194326877593994,0.484,1.94,36.056,2.331,28.425,2.468,26.062
42.45937204360962,0.484,1.94,36.056,2.331,28.425,2.463,26.151
42.72436714172363,0.484,1.935,36.156,2.326,28.516,2.463,26.151
42.98961162567139,0.484,1.935,36.156,2.326,28.516,2.463,26.151
43.25329256057739,0.484,1.931,36.256,2.322,28.608,2.458,26.241
43.518731117248535,0.484,1.931,36.256,2.322,28.608,2.458,26.241
43.78402233123779,0.484,1.926,36.356,2.317,28.699,2.458,26.241
44.04998993873596,0.484,1.926,36.356,2.317,28.699,2.458,26.241
44.315268993377686,0.484,1.921,36.457,2.312,28.791,2.454,26.331
44.580485105514526,0.484,1.921,36.457,2.312,28.791,2.454,26.331
44.84543323516846,0.484,1.916,36.558,2.307,28.883,2.454,26.331
45.11045265197754,0.484,1.911,36.658,2.307,28.883,2.449,26.421
45.37617373466492,0.484,1.911,36.658,2.307,28.883,2.449,26.421
45.64053177833557,0.484,1.906,36.759,2.302,28.974,2.444,26.511
45.905725955963135,0.479,1.906,36.759,2.302,28.974,2.449,26.421
46.17152285575867,0.479,1.906,36.759,2.297,29.066,2.444,26.511
46.4365656375885,0.479,1.906,36.759,2.297,29.066,2.439,26.601
46.701751947402954,0.479,1.901,36.861,2.292,29.158,2.444,26.511
46.96599507331848,0.479,1.901,36.861,2.292,29.158,2.439,26.601
47.230877161026,0.479,1.896,36.962,2.287,29.25,2.439,26.601
47.497021436691284,0.479,1.896,36.962,2.287,29.25,2.434,26.691
47.76205611228943,0.479,1.891,37.063,2.283,29.342,2.434,26.691
48.02762246131897,0.479,1.891,37.063,2.283,29.342,2.434,26.691
48.29158329963684,0.479,1.891,37.063,2.283,29.342,2.434,26.691
48.556639194488525,0.479,1.891,37.063,2.278,29.435,2.429,26.781
48.82316327095032,0.479,1.887,37.165,2.278,29.435,2.429,26.781
49.088114500045776,0.479,1.887,37.165,2.278,29.435,2.424,26.871
49.353416442871094,0.479,1.882,37.267,2.273,29.527,2.429,26.781
49.61846351623535,0.479,1.882,37.267,2.273,29.527,2.424,26.871
49.883525133132935,0.474,1.877,37.369,2.268,29.619,2.424,26.871
50.14902400970459,0.474,1.872,37.471,2.268,29.619,2.419,26.961
50.4131224155426,0.474,1.872,37.471,2.263,29.711,2.419,26.961
50.67818021774292,0.474,1.872,37.471,2.263,29.711,2.419,26.961
50.9444534778595,0.474,1.867,37.573,2.258,29.804,2.414,27.052
51.20919704437256,0.474,1.867,37.573,2.258,29.804,2.414,27.052
51.47328782081604,0.474,1.867,37.573,2.258,29.804,2.414,27.052
51.73956322669983,0.474,1.862,37.676,2.258,29.804,2.414,27.052
52.00466251373291,0.474,1.862,37.676,2.258,29.804,2.41,27.142
52.270163774490356,0.474,1.862,37.676,2.253,29.897,2.41,27.142
52.53519082069397,0.474,1.857,37.778,2.248,29.989,2.41,27.142
52.800100326538086,0.469,1.857,37.778,2.248,29.989,2.405,27.233
53.06552267074585,0.469,1.852,37.881,2.243,30.082,2.405,27.233
53.32982683181763,0.469,1.852,37.881,2.243,30.082,2.4,27.323
53.59512162208557,0.469,1.848,37.984,2.243,30.082,2.4,27.323
53.86050796508789,0.469,1.848,37.984,2.239,30.175,2.4,27.323
54.12520623207092,0.469,1.843,38.087,2.234,30.268,2.395,27.414
54.391130447387695,0.469,1.843,38.087,2.234,30.268,2.395,27.414
54.65533685684204,0.464,1.838,38.19,2.234,30.268,2.39,27.504
54.92035675048828,0.464,1.838,38.19,2.229,30.361,2.39,27.504
55.18557047843933,0.464,1.838,38.19,2.224,30.454,2.39,27.504
55.45143532752991,0.464,1.833,38.294,2.224,30.454,2.385,27.595
55.71720552444458,0.459,1.833,38.294,2.219,30.547,2.38,27.686
55.98230743408203,0.459,1.828,38.398,2.219,30.547,2.38,27.686
56.247212171554565,0.459,1.833,38.294,2.219,30.547,2.38,27.686
56.512455224990845,0.459,1.828,38.398,2.214,30.64,2.375,27.776
56.77720379829407,0.459,1.823,38.501,2.209,30.734,2.375,27.776
57.04203772544861,0.459,1.823,38.501,2.209,30.734,2.37,27.867
57.3073194026947,0.455,1.818,38.605,2.204,30.827,2.37,27.867
57.57260990142822,0.459,1.823,38.501,2.204,30.827,2.37,27.867
57.83812665939331,0.459,1.818,38.605,2.204,30.827,2.366,27.958
58.10325288772583,0.455,1.818,38.605,2.199,30.921,2.366,27.958
58.367130756378174,0.445,1.813,38.71,2.195,31.014,2.356,28.14
58.633686542510986,0.435,1.804,38.919,2.18,31.296,2.346,28.323
58.899216413497925,0.425,1.794,39.128,2.175,31.39,2.336,28.505
59.1639187335968,0.381,1.779,39.444,2.151,31.862,2.307,29.055
59.429365396499634,0.484,1.828,38.398,2.209,30.734,2.375,27.776
59.69454741477966,0.494,1.828,38.398,2.214,30.64,2.38,27.686
59.95932483673096,0.494,1.833,38.294,2.214,30.64,2.38,27.686
60.22458744049072,0.494,1.833,38.294,2.214,30.64,2.38,27.686
60.48853921890259,0.494,1.833,38.294,2.214,30.64,2.38,27.686
60.75462555885315,0.494,1.833,38.294,2.209,30.734,2.38,27.686
61.01881957054138,0.494,1.828,38.398,2.209,30.734,2.375,27.776
61.285449504852295,0.494,1.828,38.398,2.209,30.734,2.375,27.776
61.549614667892456,0.494,1.828,38.398,2.204,30.827,2.375,27.776
61.81573748588562,0.494,1.828,38.398,2.204,30.827,2.37,27.867
62.080219745635986,0.494,1.823,38.501,2.204,30.827,2.37,27.867
62.34604096412659,0.494,1.823,38.501,2.199,30.921,2.37,27.867
62.61109137535095,0.499,1.823,38.501,2.199,30.921,2.37,27.867
62.87581825256348,0.494,1.818,38.605,2.199,30.921,2.366,27.958
63.14107370376587,0.494,1.818,38.605,2.195,31.014,2.366,27.958
63.40591645240784,0.494,1.813,38.71,2.195,31.014,2.366,27.958
63.67089486122131,0.494,1.813,38.71,2.195,31.014,2.366,27.958
63.93630290031433,0.494,1.813,38.71,2.19,31.108,2.361,28.049
64.20149660110474,0.494,1.813,38.71,2.19,31.108,2.361,28.049
64.46659421920776,0.494,1.808,38.814,2.19,31.108,2.356,28.14
64.73145079612732,0.494,1.808,38.814,2.185,31.202,2.356,28.14
64.9971113204956,0.494,1.808,38.814,2.185,31.202,2.356,28.14
65.26255989074707,0.494,1.808,38.814,2.185,31.202,2.356,28.14
65.52748131752014,0.494,1.804,38.919,2.185,31.202,2.351,28.231
65.79282903671265,0.494,1.804,38.919,2.18,31.296,2.351,28.231
66.05801701545715,0.494,1.804,38.919,2.18,31.296,2.346,28.323
66.3235387802124,0.494,1.799,39.023,2.18,31.296,2.351,28.231
66.58842015266418,0.494,1.799,39.023,2.175,31.39,2.346,28.323
66.85352301597595,0.494,1.799,39.023,2.175,31.39,2.341,28.414
67.11749815940857,0.494,1.794,39.128,2.17,31.484,2.341,28.414
67.38344550132751,0.494,1.794,39.128,2.17,31.484,2.341,28.414
67.64870953559875,0.494,1.789,39.234,2.17,31.484,2.341,28.414
67.91286516189575,0.494,1.789,39.234,2.165,31.578,2.336,28.505
68.17940425872803,0.494,1.784,39.339,2.165,31.578,2.336,28.505
68.44442200660706,0.494,1.784,39.339,2.16,31.673,2.336,28.505
68.7094657421112,0.494,1.779,39.444,2.16,31.673,2.331,28.597
