Temps,T1,T2,T3
169.560863974538,36.2353326927916,32.3545010259103,31.0107046404017
171.603765950135,36.2856246045698,32.4048031339848,31.060985325008
173.646667925732,36.3352274894175,32.454416224562,31.1105774239776
175.689569901329,36.3841508050821,32.5033497344801,31.1594903489432
177.732471876925,36.4324038770267,32.5516129714747,31.2077333854687
179.775373852522,36.4799959006209,32.5992151159243,31.2553156943788
181.818275828119,36.5269359432526,32.6461652225751,31.302246313124
183.861177803716,36.5732329463626,32.692472222247,31.3485341571791
185.904079779313,36.6188957274147,32.7381449235161,31.3941880214603
187.94698175491,36.6639329818005,32.783192014376,31.439216581759
189.989883730507,36.7083532846922,32.8276220638784,31.4836283961835
192.032785706103,36.7521650928458,32.8714435237562,31.5274319066139
194.0756876817,36.7953767463555,32.9146647300206,31.5706354401533
196.118589657297,36.8379964703645,32.9572939045387,31.6132472105762
198.161491632894,36.880032376743,32.9993391565935,31.6552753197861
200.204393608491,36.9214924657206,33.0408084844196,31.6967277592531
202.247295584088,36.9623846274898,33.0817097767208,31.737612411453
204.290197559684,37.0027166437767,33.1220508141646,31.777937051297
206.333099535281,37.0424961893796,33.1618392708608,31.817709347541
